Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2018-11-21,202.55,203.0,198.0,200.9,199.99,11654.0,366.0,2330629.0,3998.0,34.31,5.0,-1.65
2018-11-22,201.9,204.6,197.25,198.2,200.35,9407.0,264.0,1884666.0,1939.0,20.61,7.35,-3.7
2018-11-26,197.0,202.35,197.0,198.9,199.1,27338.0,462.0,5442917.0,8623.0,31.54,5.35,1.9
2018-11-27,198.9,200.0,196.15,198.15,198.34,8375.0,187.0,1661076.0,2514.0,30.02,3.85,-0.75
2018-11-28,198.05,199.15,195.85,196.2,196.97,8633.0,178.0,1700446.0,5313.0,61.54,3.3,-1.85
2018-11-29,197.0,201.2,196.05,196.85,197.73,7528.0,224.0,1488517.0,3014.0,40.04,5.15,-0.15
2018-11-30,197.6,199.05,193.4,194.6,196.23,5439.0,173.0,1067294.0,2156.0,39.64,5.65,-3.0
2018-12-03,196.0,196.0,189.75,190.3,192.76,9954.0,249.0,1918764.0,6379.0,64.08,6.25,-5.7
2018-12-04,191.0,194.55,189.05,190.25,191.37,13060.0,390.0,2499314.0,5628.0,43.09,5.5,-0.75
2018-12-05,189.0,191.7,185.7,188.1,188.25,16987.0,427.0,3197825.0,4438.0,26.13,6.0,-0.9
2018-12-06,186.0,187.95,184.0,185.45,185.18,10264.0,258.0,1900681.0,5447.0,53.07,3.95,-0.55
2018-12-07,185.05,188.0,183.0,183.9,185.08,14128.0,291.0,2614746.0,8771.0,62.08,5.0,-1.15
2018-12-10,182.5,183.55,179.95,181.5,181.25,7681.0,212.0,1392190.0,3391.0,44.15,3.6,-1.0
2018-12-11,181.0,185.6,179.0,184.85,183.79,11413.0,232.0,2097636.0,6206.0,54.38,6.6,3.85
2018-12-12,182.35,189.5,182.35,187.2,188.01,9516.0,189.0,1789150.0,4796.0,50.4,7.15,4.85
2018-12-13,189.95,193.0,188.0,188.75,189.77,16714.0,365.0,3171776.0,7255.0,43.41,5.0,-1.2
2018-12-14,187.05,193.0,187.05,190.2,190.21,13229.0,239.0,2516295.0,8926.0,67.47,5.95,3.15
2018-12-17,192.0,199.65,190.05,197.2,194.74,11633.0,292.0,2265383.0,4881.0,41.96,9.6,5.2
2018-12-18,197.0,212.55,196.0,209.9,207.54,62042.0,1458.0,12876244.0,20901.0,33.69,16.55,12.9
2018-12-19,215.25,235.4,209.25,227.7,227.62,146268.0,3153.0,33292891.0,28101.0,19.21,26.15,12.45
2018-12-20,230.0,230.0,221.1,222.6,223.6,36720.0,953.0,8210576.0,7352.0,20.02,8.9,-7.4
2018-12-21,222.25,222.25,211.0,212.4,214.61,36345.0,840.0,7800020.0,8042.0,22.13,11.25,-9.85
2018-12-24,211.55,217.6,211.05,212.4,213.91,23836.0,513.0,5098749.0,6535.0,27.42,6.55,0.85
2018-12-26,210.45,211.2,203.0,204.75,205.89,28178.0,625.0,5801602.0,9247.0,32.82,8.2,-5.7
2018-12-27,206.7,214.75,206.05,209.8,211.03,28801.0,581.0,6077946.0,8123.0,28.2,8.7,3.1
2018-12-28,211.05,216.75,210.1,212.9,213.48,30637.0,665.0,6540350.0,7827.0,25.55,6.65,1.85
2018-12-31,214.5,216.55,211.75,212.85,213.69,9563.0,250.0,2043510.0,3282.0,34.32,4.8,-1.65
2019-01-01,212.0,213.4,211.0,212.0,212.09,6088.0,151.0,1291205.0,2780.0,45.66,2.4,0.0
