Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
1994-09-01,13.0,15.0,13.0,15.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-09-02,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-09-05,13.0,15.0,13.0,15.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-09-06,13.0,15.0,13.0,15.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-09-07,13.0,16.25,13.0,15.0,0.0,0.0,0.0,0.0,,,3.25,2.0
1994-09-08,14.0,16.0,14.0,16.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-09-12,14.0,20.0,14.0,15.0,0.0,0.0,0.0,0.0,,,6.0,1.0
1994-09-13,16.0,18.0,16.0,18.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-09-14,17.0,20.0,16.25,16.25,0.0,0.0,0.0,0.0,,,3.75,-0.75
1994-09-15,17.0,21.25,17.0,20.0,0.0,0.0,0.0,0.0,,,4.25,3.0
1994-09-16,16.25,21.25,16.25,20.0,0.0,0.0,0.0,0.0,,,5.0,3.75
1994-09-19,19.0,21.0,19.0,21.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-09-20,16.25,20.0,16.25,18.0,0.0,0.0,0.0,0.0,,,3.75,1.75
1994-09-21,17.0,19.0,17.0,19.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-09-22,15.0,20.0,15.0,20.0,0.0,0.0,0.0,0.0,,,5.0,5.0
1994-09-27,15.0,20.0,15.0,20.0,0.0,0.0,0.0,0.0,,,5.0,5.0
1994-09-28,17.0,19.0,17.0,19.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-09-29,17.0,19.0,17.0,19.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-09-30,15.0,17.5,15.0,17.0,0.0,0.0,0.0,0.0,,,2.5,2.0
1994-10-03,15.0,17.0,15.0,17.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-10-04,15.0,17.0,15.0,17.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-10-05,15.0,17.5,15.0,17.5,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-10-06,15.0,17.0,15.0,17.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-10-07,15.0,17.5,15.0,17.5,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-10-10,15.0,17.0,15.0,17.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-10-11,13.75,17.0,13.75,17.0,0.0,0.0,0.0,0.0,,,3.25,3.25
1994-10-12,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-10-14,15.0,17.0,13.75,16.25,0.0,0.0,0.0,0.0,,,3.25,1.25
1994-10-17,16.0,18.75,16.0,18.0,0.0,0.0,0.0,0.0,,,2.75,2.0
1994-10-18,13.75,18.0,13.75,15.0,0.0,0.0,0.0,0.0,,,4.25,1.25
1994-10-19,15.0,18.0,15.0,18.0,0.0,0.0,0.0,0.0,,,3.0,3.0
1994-10-20,18.0,19.0,15.0,18.0,0.0,0.0,0.0,0.0,,,4.0,0.0
1994-10-21,15.0,20.0,15.0,20.0,0.0,0.0,0.0,0.0,,,5.0,5.0
1994-10-24,20.0,20.0,15.0,20.0,0.0,0.0,0.0,0.0,,,5.0,0.0
1994-10-25,15.0,20.0,15.0,20.0,0.0,0.0,0.0,0.0,,,5.0,5.0
1994-10-26,17.5,20.0,15.0,17.5,0.0,0.0,0.0,0.0,,,5.0,0.0
1994-10-27,18.0,22.5,18.0,20.0,0.0,0.0,0.0,0.0,,,4.5,2.0
1994-10-28,18.0,25.0,15.0,20.0,0.0,0.0,0.0,0.0,,,10.0,2.0
1994-10-31,17.0,19.0,17.0,19.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-11-07,15.0,22.5,15.0,17.5,0.0,0.0,0.0,0.0,,,7.5,2.5
1994-11-08,20.0,22.5,20.0,20.0,0.0,0.0,0.0,0.0,,,2.5,0.0
1994-11-09,19.0,25.0,19.0,20.0,0.0,0.0,0.0,0.0,,,6.0,1.0
1994-11-10,20.0,22.0,20.0,20.0,0.0,0.0,0.0,0.0,,,2.0,0.0
1994-11-11,18.75,21.25,18.75,21.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-11-14,15.0,25.0,15.0,18.0,0.0,0.0,0.0,0.0,,,10.0,3.0
1994-11-15,17.5,22.5,17.5,22.5,0.0,0.0,0.0,0.0,,,5.0,5.0
1994-11-16,16.25,25.0,16.25,18.75,0.0,0.0,0.0,0.0,,,8.75,2.5
1994-11-17,17.0,22.5,17.0,17.5,0.0,0.0,0.0,0.0,,,5.5,0.5
1994-11-21,18.0,20.0,18.0,20.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-11-22,17.0,19.0,17.0,19.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-11-23,17.0,25.0,17.0,18.0,0.0,0.0,0.0,0.0,,,8.0,1.0
1994-11-24,18.0,23.75,18.0,22.5,0.0,0.0,0.0,0.0,,,5.75,4.5
1994-11-25,19.0,24.75,19.0,23.75,0.0,0.0,0.0,0.0,,,5.75,4.75
1994-11-29,20.0,26.25,20.0,23.0,0.0,0.0,0.0,0.0,,,6.25,3.0
1994-11-30,22.5,25.0,22.5,25.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-12-01,22.0,24.0,22.0,24.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-12-02,21.25,23.75,21.25,23.75,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-12-05,21.0,23.0,21.0,23.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-12-06,21.25,23.75,21.25,23.75,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-12-07,20.0,24.0,20.0,24.0,0.0,0.0,0.0,0.0,,,4.0,4.0
1994-12-08,20.0,25.0,18.75,22.5,0.0,0.0,0.0,0.0,,,6.25,2.5
1994-12-09,17.5,22.0,17.5,22.0,0.0,0.0,0.0,0.0,,,4.5,4.5
1994-12-12,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1994-12-13,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1994-12-14,20.0,21.0,20.0,21.0,0.0,0.0,0.0,0.0,,,1.0,1.0
1994-12-15,20.0,21.25,20.0,21.25,0.0,0.0,0.0,0.0,,,1.25,1.25
1994-12-16,17.5,20.0,17.5,20.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-12-19,19.0,21.0,19.0,21.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-12-20,18.0,20.0,18.0,20.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1994-12-21,17.5,20.0,17.5,20.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1994-12-22,17.0,20.0,17.0,20.0,0.0,0.0,0.0,0.0,,,3.0,3.0
1994-12-23,17.0,20.0,17.0,20.0,0.0,0.0,0.0,0.0,,,3.0,3.0
1995-01-02,16.25,20.0,16.25,20.0,0.0,0.0,0.0,0.0,,,3.75,3.75
1995-01-03,16.0,18.75,16.0,18.75,0.0,0.0,0.0,0.0,,,2.75,2.75
1995-01-04,16.0,19.0,16.0,19.0,0.0,0.0,0.0,0.0,,,3.0,3.0
1995-01-05,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-01-06,15.0,17.5,15.0,17.5,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-01-09,15.0,17.5,15.0,17.5,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-01-10,15.0,17.5,15.0,17.5,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-01-11,15.0,17.5,15.0,17.5,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-01-12,12.5,17.5,12.5,17.5,0.0,0.0,0.0,0.0,,,5.0,5.0
1995-01-13,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-01-16,17.0,17.0,13.75,15.0,0.0,0.0,0.0,0.0,,,3.25,-2.0
1995-01-17,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-01-18,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-01-19,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-01-20,15.0,17.0,15.0,17.0,0.0,0.0,0.0,0.0,,,2.0,2.0
1995-01-23,13.75,17.5,13.75,17.5,0.0,0.0,0.0,0.0,,,3.75,3.75
1995-01-24,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-01-25,13.75,15.0,13.75,15.0,0.0,0.0,0.0,0.0,,,1.25,1.25
1995-01-27,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-01-30,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-01-31,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-02-01,15.0,17.0,13.0,17.0,0.0,0.0,0.0,0.0,,,4.0,2.0
1995-02-02,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-02-03,13.75,17.0,13.75,17.0,0.0,0.0,0.0,0.0,,,3.25,3.25
1995-02-06,13.75,17.5,13.75,17.5,0.0,0.0,0.0,0.0,,,3.75,3.75
1995-02-07,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-02-08,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-02-09,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-02-10,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-02-13,13.75,17.5,13.75,16.25,0.0,0.0,0.0,0.0,,,3.75,2.5
1995-02-14,15.0,17.0,12.5,17.0,0.0,0.0,0.0,0.0,,,4.5,2.0
1995-02-15,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-02-16,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-02-17,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-02-20,13.75,13.75,13.75,13.75,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-02-21,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-02-22,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-02-24,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-02-28,12.5,12.5,12.5,12.5,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-03-01,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-02,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-03,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-06,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-07,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-03-08,14.0,16.25,13.75,13.75,0.0,0.0,0.0,0.0,,,2.5,-0.25
1995-03-09,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-03-10,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-13,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-14,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-15,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-16,12.5,15.0,12.5,14.0,0.0,0.0,0.0,0.0,,,2.5,1.5
1995-03-24,11.25,13.75,11.25,13.75,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-27,11.25,13.75,11.25,13.75,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-28,12.5,12.5,12.5,12.5,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-03-29,11.25,13.75,11.25,13.75,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-30,11.25,13.75,11.25,13.75,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-03-31,11.25,13.75,11.25,13.75,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-04-05,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-04-07,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-04-10,17.5,17.5,16.25,17.5,0.0,0.0,0.0,0.0,,,1.25,0.0
1995-04-17,12.5,12.5,12.5,12.5,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-04-18,16.25,16.25,16.25,16.25,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-04-20,15.5,15.5,15.5,15.5,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-04-21,13.75,13.75,13.75,13.75,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-04-26,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-04-27,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-04-28,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-05-02,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-05-03,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-05-04,12.5,15.0,12.5,15.0,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-05-08,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-05-09,13.0,13.0,13.0,13.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-05-10,13.75,16.25,13.75,16.25,0.0,0.0,0.0,0.0,,,2.5,2.5
1995-05-12,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,,,0.0,0.0
1995-05-15,14.0,15.0,14.0,15.0,0.0,0.0,0.0,0.0,,,1.0,1.0
1995-05-17,12.0,12.5,12.0,12.5,0.0,0.0,0.0,0.0,,,0.5,0.5
1995-05-18,14.0,14.0,12.5,13.0,0.0,0.0,0.0,0.0,,,1.5,-1.0
1995-05-22,13.0,14.0,13.0,14.0,0.0,0.0,0.0,0.0,,,1.0,1.0
